"species_2_Node.ID","species_1_Node.ID","species_2_id","species_1_id","Sp1.Species.Stage.ID","species_1_stage.ID","species_1_stage","species_1.accepted.name","species_2_id.1","Sp2.Species.Stage.ID","species_2_stage.ID","species_2_stage","species_2.accepted.name","interaction_sign","interaction_strength","Interaction_code","interaction_type","Justification","data.source","initials","Notes","latitude","longitude","Reference","ecosystem","tidal_zone","depth_meters","site_name","state","in_lab","experiment_or_observation","month","year_of_study","length_in_months_of_study","paper_id","last_name_first_author","year_published","DOI","in_maine","Timestamp","wave_exposure"
49,7,49,7,7.1,1,"adult","Littorina saxatilis",49,49.1,1,"adult","Porphyra sp.",-1,"No; Yes",1,"herbivory","10","inferred by D Morton","DNM","couldn't find specific month/year feeding experiment was done but it's somewhere between 1987 and 1989; ","NA; 42.416667; 42.424261","NA; 80.916667; 70.914489","47.Dudgeon.1999.10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 331.Lubchenco.1983.10.2307/1937822; 276.Dolecal, Renee.2013.10.1016/j.jembe.2012.12.009","; rocky intertidal","; mid",NA,"Chamberlain; Canoe Beach Cove; Nahant","ME; MA","Yes; No; ","experimental","NA; 4; 8","NA; 1974; 2007","1; 12; 3","47; 331; 276","Dudgeon; Lubchenco; Dolecal, Renee","1999; 1983; 2013","10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 10.2307/1937822; 10.1016/j.jembe.2012.12.009","Yes; No","",""
52,7,52,7,7.1,1,"adult","Littorina saxatilis",52,52.1,1,"adult","Ulva lactuca",-1,"No",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"55.Hooks.2014.10.1016/j.jembe.2014.07.022","rocky intertidal","low",NA,"Long Island, NY","New York","No","experimental","6","2012",NA,"55","Hooks","2014","10.1016/j.jembe.2014.07.022","No","7/3/21 10:01",""
171,7,171,7,7.1,1,"adult","Littorina saxatilis",171,171.1,1,"adult","Diatoms.benthic",-1,"No",1,"herbivory","4","inferred by D Morton","DNM","",NA,NA,"119.Dijkstra.2012.10.1111/j.1600-0706.2011.19712.x; 226.Dijkstra.2011.10.1111/j.1600-0706.2011.19712.x","rocky intertidal; estuary","mid; ",NA,"Wells National Estuarine Research Reserve; Little River estuary Wells National Estuarine Research Reserve","ME","Yes; No","experimental","7; NA","2009; NA","1; NA","119; 226","Dijkstra","2012; 2011","10.1111/j.1600-0706.2011.19712.x","Yes","",""
307,7,237,7,7.1,1,"adult","Littorina saxatilis",237,237.1,1,"adult","Wahlenbergiella mucosa",-1,"No",1,"herbivory","10","in literature, added by D Morton","DNM","""The related Littorina angulifera (Lamarck) (Mangrove Periwinkle) showed regular consumption of lichens or fungal propagules in mangroves, with fungal tissue showing in fecal pellets 80% of the time (Kohlmeyer and Bebout 1986). In cases such as that of W. mucosa in the littoral zone, phenolic concentrations are linked to decreased herbivory (Higgins et al. 2015). Despite this, some indirect evidence showing increased grazing of H. maura transplanted to the lower littoral zone suggests some preference by littorinids, but further evidence is needed for confirmation (Higgins et al. 2015).""","","","Vali","intertidal","mid","","Bay of Fundy","Nova Scotia","no","","","2019","","","Vail","2021","10.1656/045.028.0306","no","",""
314,7,244,7,7.1,1,"adult","Littorina saxatilis",244,244.1,1,"adult","Bangia atropurpurea",-1,"No; Yes",1,"herbivory","4","inferred by D Morton","DNM","based on feeding on Porphyra","NA; 42.416667; 42.424261","NA; 80.916667; 70.914489","47.Dudgeon.1999.10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 331.Lubchenco.1983.10.2307/1937822; 276.Dolecal, Renee.2013.10.1016/j.jembe.2012.12.009","; rocky intertidal","; mid",NA,"Chamberlain; Canoe Beach Cove; Nahant","ME; MA","Yes; No; ","experimental","NA; 4; 8","NA; 1974; 2007","1; 12; 3","47; 331; 276","Dudgeon; Lubchenco; Dolecal, Renee","1999; 1983; 2013","10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 10.2307/1937822; 10.1016/j.jembe.2012.12.009","Yes; No","",""
317,7,247,7,7.1,1,"adult","Littorina saxatilis",247,247.1,1,"adult","Devaleraea ramentacea",-1,"No",1,"herbivory","3","Globi","DNM","slightly suspect record, from Globi","","","Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756 Accessed via <https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip> at 2022-12-31T00:01:46.016Z.","","","","","","","","","","","","Brose","2018","","","",""
320,7,250,7,7.1,1,"adult","Littorina saxatilis",250,250.1,1,"adult","Cyanobacteriaceae",-1,"No",1,"herbivory","3","Paper.Database","HL","","","","","rocky intertidal","","","","","","","","","","974","Stafford","2005","10.2307/25470696","","",""
28,8,28,8,8.1,1,"adult","Littorina littorea",28,28.1,1,"adult","Pylaiella littoralis",-1,"No",1,"herbivory","6","Paper.Database","AAK","reference notes feeding on ""brown algae""",NA,NA,"354.Griffen.2007.","rocky intertidal","","-0.3","Odiorne Point","NH","No","experimental",NA,"2005",NA,"354","Griffen","2007","","No","12/2/21 15:12",""
31,8,31,8,8.1,1,"adult","Littorina littorea",31,31.1,1,"adult","Fucus distichus",-1,"No",1,"herbivory","3","Paper.Database","ANW; AAK","doesn't specify rocky intertidal only says ""rocky shores""; ","NA; 42.416667","NA; 70.916667","21.Barker.1990.10.1007/BF02114681; 332.Lubchenco.1980.10.2307/1935192; 930.Parker.1993.","; rocky intertidal","; low; high",NA,"Cranberry Cove; Canoe Beach Cove; Peggy's Cove","Nova Scotia; MA","Yes; No","experimental","5; 4; 10","1987; 1974; 1985","8; 38; 14","21; 332; 930","Barker; Lubchenco; Parker","1990; 1980; 1993","10.1007/BF02114681; 10.2307/1935192; ","No","6/10/2021 14:03:38; 7/1/2021 15:55:58; 6/28/2022 14:25:58","; wave exposed"
36,8,36,8,8.1,1,"adult","Littorina littorea",36,36.1,1,"adult","Chondrus crispus",-1,"No; Yes",1,"herbivory","3","Paper.Database","ANW; SLF","experiment repeated october-november 2006; ","53.183333; NA","7.883333; NA","40.Yun .2012.10.1007/s00227-012-1926-5; 85.Bertness.1983.10.1016/0022-0981(93)90070-5; 58.Peckol .2017.10.1111/jpy.12507","rocky intertidal","high; mid",NA,"Helogoland; ;  Ft. Wetherill, Jamestown, RI","Germany; Rhode Island","Yes","experimental","3; NA","2006; 1982; NA","2; 0.5; 1","40; 85; 58","Yun ; Bertness; Peckol ","2012; 1983; 2017","10.1007/s00227-012-1926-5; 10.1016/0022-0981(93)90070-5; 10.1111/jpy.12507","No","6/18/2021 10:47:32; 6/30/2021 12:28:26; 7/5/2021 8:29:40",""
38,8,38,8,8.1,1,"adult","Littorina littorea",38,38.1,1,"adult","Mastocarpus stellatus",-1,"No",1,"herbivory","3","Paper.Database","ANW","experiment repeated october - november 2006","53.183333","7.883333","40.Yun.2012.10.1007/s00227-012-1926-5","rocky intertidal","high",NA,"Helgoland ","Germany","Yes","experimental","3","2006","2","40","Yun","2012","10.1007/s00227-012-1926-5","No","6/18/21 10:50",""
43,8,43,8,8.1,1,"adult","Littorina littorea",43,43.1,1,"adult","Alaria esculenta",-1,"No",1,"herbivory","3","in literature, added by D Morton","DNM","based on low abundance of algae when littorina was abundant","","","Sze, P. �Distributions of Macroalgae in Tidepools on the New England Coast (USA).� Botanica Marina 25, no. 6 (1982). https://doi.org/10.1515/botm.1982.25.6.269.","rocky intertidal","tide pools","","Appledore Island","Maine","","observational","June","1981","","","Sze","1982","10.1515/botm.1982.25.6.269","yes","",""
47,8,47,8,8.1,1,"adult","Littorina littorea",47,47.1,1,"adult","Hildenbrandia rubra",-1,"No",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"85.Bertness.1983.10.1016/0022-0981(93)90070-5","rocky intertidal","mid",NA,"Haffenreffer Preserve of Brown University","Rhode Island","No","experimental","4","1982","0.25","85","Bertness","1983","10.1016/0022-0981(93)90070-5","No","6/30/21 12:17",""
48,8,48,8,8.1,1,"adult","Littorina littorea",48,48.1,1,"adult","Ceramium deslongchampsii",-1,"No",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"91.Lubchenco.1978.10.2307/2937360","rocky intertidal","low",NA,"","ME","Yes","observational",NA,"1975","5","91","Lubchenco","1978","10.2307/2937360","Yes","6/29/21 13:01",""
49,8,49,8,8.1,1,"adult","Littorina littorea",49,49.1,1,"adult","Porphyra sp.",-1,"No; Yes",1,"herbivory","3","Paper.Database","ANW; DT","couldn't find specific month/year feeding experiment was done but it's somewhere between 1987 and 1989; ","NA; 42.416667; 42.424261","NA; 80.916667; 70.914489","47.Dudgeon.1999.10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 331.Lubchenco.1983.10.2307/1937822; 276.Dolecal, Renee.2013.10.1016/j.jembe.2012.12.009","; rocky intertidal","; mid",NA,"Chamberlain; Canoe Beach Cove; Nahant","ME; MA","Yes; No; ","experimental","NA; 4; 8","NA; 1974; 2007","1; 12; 3","47; 331; 276","Dudgeon; Lubchenco; Dolecal, Renee","1999; 1983; 2013","10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2; 10.2307/1937822; 10.1016/j.jembe.2012.12.009","Yes; No","6/23/2021 11:58:59; 7/1/2021 15:05:52; 7/8/2021 10:53:57",""
50,8,50,8,8.1,1,"adult","Littorina littorea",50,50.1,1,"adult","Petalonia sp.",-1,"No",1,"herbivory","3","Paper.Database","SLF; AAK","; implied in results/discussion -- not a study species",NA,NA,"91.Lubchenco.1978.10.2307/2937360; 887.Lubchenco.1978.10.1086/283250","rocky intertidal; ","low; ",NA,"","ME; MA","Yes; ","observational; experimental","NA; 9","1975; 1973","5; NA","91; 887","Lubchenco","1978","10.2307/2937360; 10.1086/283250","Yes; No","6/29/2021 12:58:36; 11/29/2021 15:56:10",""
52,8,52,8,8.1,1,"adult","Littorina littorea",52,52.1,1,"adult","Ulva lactuca",-1,"No; Yes",1,"predation; herbivory","3","Globi; Paper.Database","DNM; SLF; ANW; DT; LM","NA; ; Everything that I didn't know was entered as 0 or ""unknown""","51.5; 50.358082; NA; 42.418611; 42.416667; 44.166667; 42.424261; 0","-9.3; -4.12809; NA; 70.906111; 80.916667; 68.016667; 70.914489; 0","Cattin Blandenier (2004); Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756; 91.Lubchenco.1978.10.2307/2937360; 63.bracken.2014.10.1890/13-2094.1; 85.Bertness.1983.10.1016/0022-0981(93)90070-5; 331.Lubchenco.1983.10.2307/1937822; 58.Peckol.2017.10.1111/jpy.12507; 276.Dolecal, Renee.2013.10.1016/j.jembe.2012.12.009; 13.Putnam.2018.10.3354/meps12523","NA; rocky intertidal","NA; low; mid; ","NA; 1; 0","NA; ; East Point; Canoe Beach Cove; Grindstone Neck; Ft. Wetherill, Jamestown, RI; Nahant; Bristol, ME","NA; ME; MA; Rhode Island","NA; Yes; No; ","NA; observational; experimental","NA; 6; 4; 8; 5","NA; 1975; 2009; 1982; 1974; 2007; 2018","NA; 5; 0.5; 12; 1; 3; 0","NA; 91; 63; 85; 331; 58; 276; 13","NA; Lubchenco; bracken; Bertness; Peckol; Dolecal, Renee; Putnam","NA; 1978; 2014; 1983; 2017; 2013; 2018","NA; 10.2307/2937360; 10.1890/13-2094.1; 10.1016/0022-0981(93)90070-5; 10.2307/1937822; 10.1111/jpy.12507; 10.1016/j.jembe.2012.12.009; 10.3354/meps12523","NA; Yes; No","6/29/22 14:00; 6/29/2021 12:53:04; 6/29/2021 15:17:18; 6/30/2021 12:26:01; 7/1/2021 14:38:27; 7/1/2021 14:42:10; 7/5/2021 8:22:25; 7/8/2021 10:53:59; 2/24/2022 14:56:27","NA; ; Unknown"
307,8,237,8,8.1,1,"adult","Littorina littorea",237,237.1,1,"adult","Wahlenbergiella mucosa",-1,"No",1,"herbivory","10","in literature, added by D Morton","DNM","""The related Littorina angulifera (Lamarck) (Mangrove Periwinkle) showed regular consumption of lichens or fungal propagules in mangroves, with fungal tissue showing in fecal pellets 80% of the time (Kohlmeyer and Bebout 1986). In cases such as that of W. mucosa in the littoral zone, phenolic concentrations are linked to decreased herbivory (Higgins et al. 2015). Despite this, some indirect evidence showing increased grazing of H. maura transplanted to the lower littoral zone suggests some preference by littorinids, but further evidence is needed for confirmation (Higgins et al. 2015).""","","","Vali","intertidal","mid","","Bay of Fundy","Nova Scotia","no","","","2019","","","Vail","2021","10.1656/045.028.0306","no","",""
308,8,238,8,8.1,1,"adult","Littorina littorea",238,238.1,1,"adult","Scytosiphon lomentaria",-1,"No",1,"herbivory","3","in literature, added by D Morton","DNM","based on low abundance of algae when littorina was abundant","","","Sze, P. �Distributions of Macroalgae in Tidepools on the New England Coast (USA).� Botanica Marina 25, no. 6 (1982). https://doi.org/10.1515/botm.1982.25.6.269.","rocky intertidal","tide pools","","Appledore Island","Maine","","observational","June","1981","","","Sze","1982","10.1515/botm.1982.25.6.269","yes","",""
308,8,238,8,8.1,1,"adult","Littorina littorea",238,238.1,1,"adult","Scytosiphon lomentaria",-1,"No",1,"herbivory","3","Paper.Database","HL","paper mentions that this interaction has been observed in laboratory experimental settings, for the upright morph of the resource","","","","laboratory","","","","","yes","experimental","","","","956","Lubchenco","1980","10.2307/1937433","No","",""
314,8,244,8,8.1,1,"adult","Littorina littorea",244,244.1,1,"adult","Bangia atropurpurea",-1,"No",1,"herbivory","10","Paper.Database","DNM","Study mentioned link to Bangia fuscopurpurea observed in laboratory experimental settings, for the upright morph of the resource","","","","","","","","","yes","experimental","","","","956","Lubchenco","1980","10.2307/1937433","","",""
315,8,245,8,8.1,1,"adult","Littorina littorea",245,245.1,1,"adult","Spongomorpha aeruginosa",-1,"No",1,"herbivory","3","in literature, added by D Morton","DNM","based on low abundance of algae when littorina was abundant","","","Sze, P. �Distributions of Macroalgae in Tidepools on the New England Coast (USA).� Botanica Marina 25, no. 6 (1982). https://doi.org/10.1515/botm.1982.25.6.269.","rocky intertidal","tide pools","","Appledore Island","Maine","","observational","June","1981","","","Sze","1982","10.1515/botm.1982.25.6.269","yes","",""
317,8,247,8,8.1,1,"adult","Littorina littorea",247,247.1,1,"adult","Devaleraea ramentacea",-1,"No",1,"herbivory","3","Globi","DNM","slightly suspect record, from Globi","","","Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756 Accessed via <https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip> at 2022-12-31T00:01:46.016Z.","","","","","","","","","","","","Brose","2018","","","",""
320,8,250,8,8.1,1,"adult","Littorina littorea",250,250.1,1,"adult","Cyanobacteriaceae",-1,"No",1,"herbivory","10","Paper.Database","HL","","","","","rocky intertidal","","","","","","","","","","974","Stafford","2005","10.2307/25470696","","",""
31,9,31,9,9.1,1,"adult","Littorina obtusata",31,31.1,1,"adult","Fucus distichus",-1,"No",1,"herbivory","3","Paper.Database","ANW; AAK","doesn't say rocky intertidal only says rocky shores; ",NA,NA,"21.Barker.1990.10.1007/BF02114681; 930.Parker.1993.","; rocky intertidal","; high",NA,"Cranberry Cove; Peggy's Cove","Nova Scotia ; Nova Scotia","Yes; No","experimental","5; 10","1987; 1985","8; 14","21; 930","Barker; Parker","1990; 1993","10.1007/BF02114681; ","No","6/10/2021 14:09:59; 6/28/2022 14:25:58","; wave exposed"
36,9,36,9,9.1,1,"adult","Littorina obtusata",36,36.1,1,"adult","Chondrus crispus",-1,"Yes",1,"herbivory","3","Paper.Database","SLF","",NA,NA,"58.Peckol.2017.10.1111/jpy.12507","rocky intertidal","mid",NA," Ft. Wetherill, Jamestown, RI","Rhode Island","Yes","experimental",NA,NA,"1","58","Peckol","2017","10.1111/jpy.12507","No","7/5/21 8:34",""
49,9,49,9,9.1,1,"adult","Littorina obtusata",49,49.1,1,"adult","Porphyra sp.",-1,"No",1,"herbivory","3","Paper.Database","ANW","",NA,NA,"47.Dudgeon.1999.10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2","","",NA,"Chamberlain","ME","Yes","experimental","1",NA,"1","47","Dudgeon","1999","10.1890/0012-9615(1999)069[0331:COSSIA]2.0.CO;2","Yes","6/29/21 14:11",""
317,9,247,9,9.1,1,"adult","Littorina obtusata",247,247.1,1,"adult","Devaleraea ramentacea",-1,"No",1,"herbivory","3","Globi","DNM","slightly suspect record, from Globi","","","Brose, U. (2018). GlobAL daTabasE of traits and food Web Architecture (GATEWAy) version 1.0 [Data set]. German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig. https://doi.org/10.25829/IDIV.283-3-756 Accessed via <https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip> at 2022-12-31T00:01:46.016Z.","","","","","","","","","","","","Brose","2018","","","",""
31,11,31,11,11.1,1,"adult","Lacuna vincta",31,31.1,1,"adult","Fucus distichus",-1,"No",1,"herbivory","3","inferred by D Morton","DNM","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
36,11,36,11,11.1,1,"adult","Lacuna vincta",36,36.1,1,"adult","Chondrus crispus",-1,"No",1,"herbivory","3","Paper.Database","JRR","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
38,11,38,11,11.1,1,"adult","Lacuna vincta",38,38.1,1,"adult","Mastocarpus stellatus",-1,"No",1,"herbivory","3","inferred by D Morton","DNM","; Summer 1998","43.166667","70.6","484.Chavanich.2002.10.1093/mollus/68.1.73; 564.Sachuna.2001.; 568.Chavanich.2002.10.1093/mollus/68.1.73","subtidal","","-6; NA","Cape Neddick, York, ME; Cape Neddick","ME","Yes; No","experimental","4; NA","1998; 1988","23; NA","484; 564; 568","Chavanich; Sachuna","2002; 2001","10.1093/mollus/68.1.73; ","Yes","9/10/2021 9:11:28; 10/1/2021 8:59:06; 10/1/2021 10:06:52","some exposure to swells and storms; wave exposed; wave intermediate"
43,11,43,11,11.1,1,"adult","Lacuna vincta",43,43.1,1,"adult","Alaria esculenta",-1,"No",1,"herbivory","10","inferred by D Morton","DNM","; study during summer of 1998; -3 to -6m MLLW; Laminaria longicuris is a synonum for saccharina latissima","NA; 43.166667; 44.477347; 43.068056; 44.55818; 44.5725","NA; 70.6; 63.546725; 70.7125; 64.02488; 63.933611","484.Chavanich.2002.10.1093/mollus/68.1.73; 523.Feehan.2012.10.3354/meps09441; 564.Sachuna.2001.; 565.Fralick.1974.; 567.O'Brien.2013.10.1017/S0025315412001683; 568.Chavanich.2002.10.1093/mollus/68.1.73; 675.Johnson.1986.10.1016/0022-0981(86)90244-3","; subtidal","","-6; -8; NA; -3; -5; -9","; Cape Neddick, York, ME; Splitnose Point; Cape Neddick; Newcastle Island; The Lodge, St Margarets Bay; Paul Port","Nova Scotia; ME; MA; NH","; Yes; No","; experimental; observational","NA; 4; 6; 11; 2","NA; 1998; 2013; 1972; 2010; 1983","23; NA; 2; 9","484; 523; 564; 565; 567; 568; 675","Chavanich; Feehan; Sachuna; Fralick; O'Brien; Johnson","2002; 2012; 2001; 1974; 2013; 1986","10.1093/mollus/68.1.73; 10.3354/meps09441; ; 10.1017/S0025315412001683; 10.1016/0022-0981(86)90244-3","No; Yes","9/8/2021 13:14:04; 9/8/2021 13:37:28; 9/24/2021 10:21:41; 10/1/2021 8:52:17; 10/1/2021 9:14:16; 10/1/2021 9:50:20; 10/1/2021 10:00:12; 10/25/2021 9:27:04","; not mentioned; wave exposed; wave intermediate"
48,11,48,11,11.1,1,"adult","Lacuna vincta",48,48.1,1,"adult","Ceramium deslongchampsii",-1,"No",1,"herbivory","3","Paper.Database","ANW","ceramium species = ceramium virgatum",NA,NA,"37.Jones.2010.10.3354/meps08391","rocky intertidal","low",NA,"Brenton Point State Park","Rhode Island","Yes","experimental","6","2005","15","37","Jones","2010","10.3354/meps08391","No","6/15/21 15:21",""
